Номер	Описание неисправности	SPN	FMI	Blink-Code				OBD2
57	Неправильный сигнал температуры охлаждающей жидкости двигателя в статическом состоянии	110	17	2	4	2	P0039	P0116
58	Неправильный сигнал температуры охлаждающей жидкости двигателя в динамическом состоянии	110	18	2	4	2	P003A	P0116
59	Ошибка температуры охлаждающей жидкости двигателя, идет от сигнала CAN шины	110	19	2	4	1	P003B	U0116
60	Напряжение исходного сигнала температуры охлаждающей жидкости двигателя превышает верхнее пороговое значение	110	3	2	4	1	P003C	P0118
61	Напряжение исходного сигнала температуры охлаждающей жидкости двигателя нижеминимального порогового значения	110	4	2	4	1	P003D	P0117
62	Неверный сигнал температуры охлаждающей жидкости (Температура и выбранное второе отклонение температуры выше максимального порогового значения).	110	2	2	4	2	P003E	P0116
63	Неверный сигнал сцепления (Передача изменилась, но сигнал сцепления не изменился)	598	2	2	2	2	P003F	P0704
64	Ошибка сигнала сцепления, идет от CAN шины	598	19	2	2	2	P0040	U1400
65	Превышение ограничения крутящего момента защиты турбины	520269	14	5	2	1	P0041	P1038
66	Превышение ограничения крутящего момента защиты двигателя	520270	14	5	2	2	P0042	P1039
67	Превышение ограничения крутящего момента защиты системы впрыска	520271	14	5	2	3	P0043	P1040
68	Превышение объема отчетов о превышении ограничения крутящего момента	520197	11	5	2	4	P0044	P1006
69	Превышение ограничения крутящего момента горным тормозом	520272	14	5	3	4	P0045	P1041
70	Превышение ограничения крутящего момента фильтра твердых частиц	520273	14	5	3	3	P0046	P1042
71	Превышение ограничения крутящего момента ограничителем крутящего момента	520274	14	5	3	2	P0047	P1043
72	Превышение ограничения крутящего момента ограничением уровня дыма	520275	14	5	3	1	P0048	P1044
73	Ошибка времени ожидания отправки информации из CAN шины в АСК	522004	19	0	0	0	P0049	U0100
74	Ошибка времени ожидания отправки информации из CAN шины в Аmbcon	522005	19	4	1	3	P004A	U0100
75	Ошибка длины данных AT1IG1 получаемых CAN	522006	14	4	2	2	P004B	U0113
76	Ошибка времени ожидания получения CAN шиной данных AT1IG	522006	19	4	2	2	P004C	U0113
77	Ошибка времени ожидания получения CAN шиной данных AT1IGC1	522007	19	4	2	2	P004D	U0113
78	Ошибка времени ожидания получения CAN шиной данных AT1IGC2	522008	19	4	2	2	P004E	U0113
79	Ошибка длины данных AT1O1, получаемых CAN	522009	14	4	2	1	P004F	U0113
80	Ошибка времени ожидания получения CAN шиной данных AT1O1	522009	19	4	2	1	P0050	U0113
81	Ошибка времени ожидания СAN информации AT1OGC1 датчика	522010	19	4	2	1	P0051	U0113
82	Ошибка времени ожидания СAN информации AT1OGC2 датчика	522011	19	4	2	1	P0052	U0113
83	Ошибка связи ECU с датчиком	522059	14	0	0	0	P0053	U0113
84	Истечение времени ожидания ВАМ в первое цифровое хранение	0	0	0	0	0	P0054	U0113
85	Истечение времени ожидания в цифровое хранение из цифрового хранения	0	0	0	0	0	P0055	U0113
86	Ошибка связи ECU с датчиком	522060	14	0	0	0	P0056	U0113
87	Истечение времени ожидания ВАМ в первое цифровое хранение	0	0	0	0	0	P0057	U0113
88	Истечение времени ожидания в цифровое хранение из цифрового хранения	0	0	0	0	0	P0058	U0113
89	Истечение времени ожидания ВАМ в первое цифровое хранение	522012	11	0	0	0	P0059	U0113
90	Истечение времени ожидания в цифровое хранение из цифрового хранения	522012	31	0	0	0	P005A	U0113
91	Ошибка SPN1 информации DCU	522012	0	4	2	3	P005B	P1400
92	Ошибка SPN2 информации DCU	522012	1	4	2	3	P005C	P1401
93	Ошибка SPN3 информации DCU	522012	2	4	2	3	P005D	P1402
94	Ошибка SPN4 информации DCU	522012	3	4	2	3	P005E	P1403
95	Ошибка SPN5 информации DCU	522012	4	4	2	3	P005F	P1404
96	Истечение времени ожидания DCU BAM	522012	19	4	2	4	P0060	P1405
97	Ошибка проверки SAE	0	0	0	0	0	P0061	U0113
98	Ошибка времени ожидания получения CAN информации EBC1	522013	19	0	0	0	P0062	U0129
99	Ошибка времени ожидания получения CAN информации EEC1	522014	19	4	1	3	P0063	U0100
100	Ошибка времени ожидания получения CAN информации EEC2	522015	19	0	0	0	P0064	U0100
101	Ошибка времени ожидания получения CAN информации EEC3	522016	19	0	0	0	P0065	U0100
102	Ошибка времени ожиданияEFL_P1, посылаемой CAN	522017	19	0	0	0	P0066	U0100
103	Ошибка запроса на остановку двигателя, посылаемого CAN	522018	19	0	0	0	P0067	U1100
104	Ошибка времени ожидания EngTemp, посылаемой CAN	522020	19	4	1	3	P0068	U0100
105	Ошибка времени ожидания ERC1, посылаемой CAN	522021	19	0	0	0	P0069	U0100
106	Ошибка времени ожидания ETC1, посылаемой CAN	522022	19	4	2	5	P006A	U0103
107	Ошибка времени ожидания ETC2, посылаемой CAN	522023	19	4	2	5	P006B	U0291
108	шибка времени ожидания FlEco, посылаемой CAN	522024	19	0	0	0	P006C	U0100
109	Ошибка времени ожидания INCON, посылаемой CAN	522025	19	4	1	3	P006D	U0100
110	Ошибка информации CAN датчика	522027	19	4	2	1	P006E	U0113
111	Ошибка информации CAN датчика	522028	19	4	2	2	P006F	U0113
112	Ошибка информации CAN датчика	522027	14	4	2	1	P0070	U0113
113	Ошибка информации CAN датчика	522028	14	4	2	2	P0071	U0113
114	Ошибка информации CAN датчика	522027	15	4	2	1	P0072	U0113
115	Ошибка информации CAN датчика	522028	15	4	2	2	P0073	U0113
116	Ошибка информации CAN датчика	522027	16	4	2	1	P0074	U0113
117	Ошибка информации CAN датчика	522028	16	4	2	2	P0075	U0113
118	Ошибка информации CAN датчика	522027	17	4	2	1	P0076	U0113
119	Ошибка информации CAN датчика	522028	17	4	2	2	P0077	U0113
120	Ошибка информации CAN датчика	522027	18	4	2	1	P0078	U0113
121	Ошибка информации CAN датчика	522028	18	4	2	2	P0079	U0113
122	Ошибка информации CAN датчика	522027	0	4	2	1	P007A	U0113
123	Ошибка информации CAN датчика	522028	0	4	2	2	P007B	U0113
124	Ошибка информации CAN датчика	522027	1	4	2	1	P007C	U0113
125	Ошибка информации CAN датчика	522028	1	4	2	2	P007D	U0113
126	Ошибка времени ожидания DM19 нижнего уровня ВАМ	522027	2	4	2	1	P007E	U0113
127	Ошибка времени ожидания DM19 верхнего уровня ВАМ	522028	2	4	2	2	P007F	U0113
128	Ошибка SAE J1939 информации CAN датчика концетрации кислорода	522027	3	4	2	1	P0080	U0113
129	Ошибка SAE J1939 информации CAN датчика концетрации кислорода	522028	3	4	2	2	P0081	U0113
130	Ошибка времени ожидания ETC1, посылаемой CAN	522030	19	0	0	0	P0082	U0104
131	Ошибка DFC SAE J1939	522028	4	4	2	1	P0083	U0113
132	Ошибка информации CAN датчика	522027	4	4	2	2	P0084	U0113
133	Ошибка информации CAN датчика концентрации кислорода	522028	5	4	2	1	P0085	U0113
134	Ошибка информации CAN датчика концентрации кислорода	522027	5	4	2	2	P0086	U0113
135	Ошибка информации CAN подача электроэнергии датчик концентрации кислорода	522028	6	4	2	1	P0087	U0113
136	Ошибка информации CAN подача электроэнергии датчик концентрации кислорода	522027	6	4	2	2	P0088	U0113
137	Ошибка информации CAN температура датчика концентрации кислорода	522027	7	4	2	1	P0089	U0113
138	Ошибка информации CAN температура датчика концентрации кислорода	522028	7	4	2	2	P008A	U0113
139	Ошибка времени ожидания информации о выключении CAN	522031	19	0	0	0	P008B	U0100
140	Ошибка времени ожидания TCO1, получаемой CAN	522032	19	0	0	0	P008C	U0100
141	Ошибка времени ожидания TI1, получаемой CAN	522033	19	0	0	0	P008D	U1103
142	Ошибка времени ожидания TimeDate, получаемой CAN	522034	19	0	0	0	P008E	U1101
143	Истечение времени ожидания активной информации CANTSC1AE	522035	8	4	1	4	P008F	U0121
144	CANTSC1AE Истечение времени ожидания пассивной информации CANTSC1AE	522035	10	4	1	4	P0090	U0121
145	CANTSC1AR Истечение времени ожидания активной информации CANTSC1AR	522036	8	4	1	4	P0091	U0121
146	CANTSC1AR Истечение времени ожидания пассивной информации CANTSC1AR	522036	10	4	1	4	P0092	U0121
147	CANTSC1DE Истечение времени ожидания пассивной информации CANTSC1DE	522037	8	4	1	5	P0093	U0121
148	CANTSC1DE Истечение времени ожидания пассивной информации CANTSC1DE	522037	10	4	1	5	P0094	U0121
149	CANTSC1DR Истечение времени ожидания пассивной информации CANTSC1DR	522038	8	4	1	5	P0095	U0121
150	CANTSC1DR Истечение времени ожидания пассивной информации CANTSC1DR	522038	10	4	1	5	P0096	U0121
151	CANTSC1PE Истечение времени ожидания активной информации CANTSC1PE	522039	8	4	1	6	P0097	U0121
152	CANTSC1PE Истечение времени ожидания пассивной информации CANTSC1PE	522039	10	4	1	6	P0098	U0121
153	CANTSC1VE Истечение времени ожидания активной информации CANTSC1VE	522040	8	4	1	7	P0099	U0121
154	CANTSC1VE Истечение времени ожидания пассивной информации CANTSC1VE	522040	10	4	1	7	P009A	U0121
155	CANTSC1TR Истечение времени ожидания активной информации CANTSC1TR	522041	8	4	1	7	P009B	U0121
156	CANTSC1TR Истечение времени ожидания пассивной информации CANTSC1TR	522041	10	4	1	7	P009C	U0121
157	CANTSC1VE Истечение времени ожидания активной информации CANTSC1VE	522042	8	4	1	8	P009D	U0121
158	CANTSC1VE Истечение времени ожидания пассивной информации CANTSC1VE	522042	10	4	1	8	P009E	U0121
159	CANTSC1VR Истечение ожидания активной информации CANTSC1VR	522043	8	4	1	8	P009F	U0121
160	CANTSC1VR Истечение времени ожидания пассивной информации CANTSC1VR	522043	10	4	1	8	P00A0	U0121
161	TSC1AE Ошибка времени ожидания TSC1AE, получаемой CAN	522035	19	4	1	4	P00A1	U0121
162	TSC1AR Ошибка времени ожидания TSC1AR, получаемой CAN	522036	19	4	1	4	P00A2	U0121
163	TSC1DE Ошибка времени ожидания TSC1DE, получаемой CAN	522037	19	4	1	5	P00A3	U0121
164	TSC1DR Ошибка времени ожидания TSC1DR , получаемой CAN	522038	19	4	1	5	P00A4	U0121
165	TSC1PE Ошибка времени ожидания TSC1PE , получаемой CAN	522039	19	4	1	6	P00A5	U0121
166	TSC1TE Ошибка времени ожидания TSC1TE , получаемой CAN	522040	19	4	1	7	P00A6	U0121
167	TSC1TR Ошибка времени ожидания TSC1TR , получаемой CAN	522041	19	4	1	7	P00A7	U0121
168	TSC1VE Ошибка времени ожидания TSC1TR , получаемой CAN	522042	19	4	1	8	P00A8	U0121
169	TSC1VR Ошибка времени ожидания TSC1VR , получаемой CAN	522043	19	4	1	8	P00A9	U0121
170	Ошибка времени ожидания информации, посылаемой CAN	522044	19	0	0	0	P00AA	U0104
171	Ошибка информации CAN температура датчика концентрации кислорода	522045	19	0	0	0	P00AB	U1105
172	Истечение времени ожидания CAN информации TxPGNRQ	522046	19	0	0	0	P00AC	U0100
173	CANUAA1 Ошибка времени ожидания UAA1, посылаемой CAN	522047	19	0	0	0	P00AD	U0100
174	CANUAA2 Ошибка времени ожидания UAA2, посылаемой CAN	522048	19	0	0	0	P00AE	U0100
175	CANUAA3 Ошибка времени ожидания UAA3, посылаемой CAN	522049	19	0	0	0	P00AF	U0100
176	CANUAA4 Ошибка времени ожидания UAA4, посылаемой CAN	522050	19	0	0	0	P00B0	U0100
177	CANUAA5 Ошибка времени ожидания UAA5, посылаемой CAN	522051	19	0	0	0	P00B1	U0100
178	CANUAA6 Ошибка времени ожидания UAA6, посылаемой CAN	522052	19	0	0	0	P00B2	U0100
179	CANUAA7 Ошибка времени ожидания UAA7, посылаемой CAN	522053	19	0	0	0	P00B3	U0100
180	CANUAA8 Ошибка времени ожидания UAA8, посылаемой CAN	522054	19	0	0	0	P00B4	U0100
181	CANVD Ошибка времени ожидания VD, посылаемой CAN	522055	19	0	0	0	P00B5	U0100
182	CANVEP1 Ошибка времени ожидания VEP1, посылаемой CAN	522056	19	0	0	0	P00B6	U0100
183	CANWFI Ошибка времени ожидания WFI, посылаемой CAN	522057	19	0	0	0	P00B7	U1106
184	Ошибка активации ограничения крутящего момента OBD	520198	11	5	1	1	P00B8	P1007
185	Ошибка переключателя круиз контроля	596	2	3	4	1	P00B9	P0575
186	Ошибка Cy146, связанные с SPI и COM	522058	19	1	1	1	P00BA	P0607
187	Ошибка Cy320, связанные с SPI и COM	520201	19	1	1	1	P00BB	P0607
188	Слишком высокое напряжение в аккумуляторе	444	3	1	2	4	P00BC	P0563
189	Низкое напряжение аккумулятора	444	4	1	2	4	P00BD	P0562
190	Неверный сигнал горного тормоза	571	2	3	4	2	P00BE	P1500
191	Неверный сигнал переключателя остановки машины	520203	2	3	4	3	P00BF	P2536
192	Неверный сигнал переключателя запуска машины	520203	5	3	4	3	P00C0	P2536
193	Горный тормоз в движении без нагрузки	571	5	3	1	5	P00C1	P0475
194	Перегрев горного тормоза в движении	571	6	3	1	5	P00C2	P0475
195	Короткое замыкание источника питания горного тормоза	571	3	3	1	5	P00C3	P0478
196	Короткое замыкание земли горного тормоза	571	4	3	1	5	P00C4	P0477
197	Ошибка стирания EEP	2802	11	1	1	7	P00C5	P062F
198	Ошибка чтения EEP	2802	14	1	1	7	P00C6	P062F
199	Ошибка записи EEP	2802	12	1	1	7	P00C7	P062F
200	Ограничение электротока клапана EGR	27	6	3	5	1	P00C8	P0000
201	Сигнал напряжения клапана EGR в закрытом положении не в рабочих пределах	27	17	3	5	2	P00C9	P0000
202	Сигнал напряжения клапана EGR в открытом положении не в рабочих пределах	27	15	3	5	2	P00CA	P0000
203	EGR Сигнал напряжения клапана EGR в закрытом положении при учебном напряжении не в рабочих пределах	27	2	3	5	2	P00CB	P0000
204	Отклонения контроля клапана EGR во время холодного пуска не в рабочих пределах	27	12	3	5	3	P00CC	P0000
205	Положительное отклонение контроля клапана EGR в момент хлодного запуска не в рабочих пределах	27	18	3	5	3	P00CD	P0000
206	Отрицательное отклонение контроля клапана EGR в момент хлодного запуска не в рабочих пределах	27	16	3	5	3	P00CE	P0000
207	Засор клапана EGR в закрытом положении	27	1	3	5	3	P00CF	P0000
208	Засор клапана EGR в открытом положении	27	0	3	5	3	P00D0	P0000
209	Отклонение длины времени сигналов клапана EGR в закрытом положении при двух учебных напряжениях слишком велико	27	8	3	5	2	P00D1	P0000
210	Отклонение длины времени сигналов клапана EGR в открытом положении при двух учебных напряжениях слишком велико	27	9	3	5	2	P00D2	P0000
211	Клапан EGR без нагрузки	27	5	3	5	4	P00D3	P0000
212	Перегрев клапана EGR	27	24	3	5	4	P00D4	P0000
213	Обратная связь открытия клапана EGR выше порогового значения	27	20	3	5	5	P00D5	P0000
214	Обратная связь открытия клапана EGR ниже порогового значения	27	21	3	5	5	P00D6	P0000
215	Короткое замыкание источника питания клапана EGR	27	3	3	5	4	P00D7	P0000
216	Короткое замыкание земли клапана EGR	27	4	3	5	4	P00D8	P0000
217	Отклонение короткого времени сигналов клапана EGR в закрытом положении при двух учебных напряжениях слишком велико	27	22	3	5	2	P00D9	P0000
218	Отклонение короткого времени сигналов клапана EGR в открытом положении при двух учебных напряжениях слишком велико	27	23	3	5	2	P00DA	P0000
219	Напряжение обратной связи клапана EGR выше порогового значения	27	13	3	5	5	P00DB	P0000
220	Напряжение обратной связи клапана EGR ниже порогового значения	27	14	3	5	5	P00DC	P0000
221	Соединение клапана EGR не надежно	27	11	3	5	4	P00DD	P0000
222	Запрос на отключение двигателя приводит к отключению впрыска топлива	1109	11	5	1	2	P00DE	P1008
223	Превышение скорости двигателя	1769	11	5	1	3	P00DF	P0219
224	Активация защиты двигателя	520205	7	5	1	4	P00E0	P1009
225	Двигатель в движении выдает отсутствие нагрузки	1623	5	3	4	4	P00E1	P100A
226	Превышение температуры двигателя на рабочих оборотах	1623	6	3	4	4	P00E2	P100B
227	Короткое замыкание источника питания двигателя на рабочих оборотах	1623	3	3	4	4	P00E3	P100C
228	Короткое замыкание земли двигателя на рабочих оборотах	1623	4	3	4	4	P00E4	P100D
229	Ошибка информации CAN давления окружающей среды	108	19	2	3	2	P00E5	U1401
230	Напряжение датчика давления окружающей среды выше максимального предела	108	3	2	3	2	P00E6	P2229
231	Напряжение датчика давления окружающей среды ниже минимального предела	108	4	2	3	2	P00E7	P2228
232	Неверный сигнал температуры окружающей среды	171	2	2	3	5	P00E8	P0071
233	Напряжение датчика температуры окружающей среды выше максимального предела	171	3	2	3	5	P00E9	P0073
234	Напряжение датчика температуры окружающей среды ниже минимального предела	171	4	2	3	5	P00EA	P0072
235	Ошибка сигнала распределительного вала	4201	2	1	2	3	P00EB	P0341
236	Отсутствует сигнал распределительного вала	4201	12	1	2	3	P00EC	P0340
237	Ошибка отклонения сигнала распределительного вала	4201	14	1	2	3	P00ED	P0340
238	Ошибка сигнала коленвала	4203	2	1	2	2	P00EE	P0336
239	Отстутствует сигнал коленвала	4203	12	1	2	2	P00EF	P0335
240	Нет нагрузки на реле горного тормоза	520208	5	3	1	1	P00F0	P0475
241	Превышение температуры реле гороного тормоза	520208	6	3	1	1	P00F1	P0475
242	Короткое замыкание источника питания реле горного тормоза	520208	3	3	1	1	P00F2	P0478
243	Короткое замыкание земли реле горного тормоза	520208	4	3	1	1	P00F3	P0477
244	Неверный сигнал положения реле горного тормоза	520208	2	3	1	1	P00F4	P0476
245	Ошибка положения реле горного тормоза	520208	19	3	1	1	P00F5	P0475
246	Слишком большое отклонение аналого-цифровое преобразование	520266	11	1	1	1	P00F6	P060B
247	Электромагнитный клапан вентилятора 1 без нагрузки	4815	5	3	1	2	P00F7	P0480
248	Электромагнитный клапан вентилятора 2 без нагрузки	4815	20	3	1	2	P00F8	P0480
249	Электромагнитный клапан вентилятора 1 превышение температуры	4815	6	3	1	2	P00F9	P0480
250	Электромагнитный клапан вентилятора 2 превышение температуры	4815	12	3	1	2	P00FA	P0480
251	Короткое замыкание источника питания электромагнитного клапана вентилятора 1	4815	3	3	1	2	P00FB	P0692
252	Короткое замыкание источника питания электромагнитного клапана вентилятора 2	4815	21	3	1	2	P00FC	P0692
253	Короткое замыкание земли электромагнитного клапана вентилятора 1	4815	4	3	1	2	P00FD	P0691
254	Короткое замыкание земли электромагнитного клапана вентилятора 2	4815	22	3	1	2	P00FE	P0691
255	Нет нагрузки PWM привода вентилятора	4815	7	3	1	2	P00FF	P0481
256	Перегрев PWM привода вентилятора	4815	8	3	1	2	P0100	P0481
257	Короткое замыкание источника питания привода PWM вентилятора	4815	9	3	1	2	P0101	P0694
258	Короткое замыкание земли привода PWM вентилятора	4815	10	3	1	2	P0102	P0693
259	Слишком большой интервал времени сигнала вентилятора на рабочих оборотах	1639	8	3	1	6	P0103	P0480
260	Обороты вентилятора на рабочих оборотах превышают максимальное значение	1639	3	3	1	6	P0104	P0495
261	Обороты вентилятора на рабочих оборотах ниже минимального значения	1639	4	3	1	6	P0105	P0494
262	Ошибка корекции баланса уровня масла 1	520268	11	4	8	2	P0106	P0611
263	Ошибка корекции баланса уровня масла 2	520268	20	4	8	2	P0107	P0611
264	Ошибка корекции баланса уровня масла 3	520268	21	4	8	2	P0108	P0611
265	Ошибка корекции баланса уровня масла 4	520268	22	4	8	2	P0109	P0611
266	Ошибка корекции баланса уровня масла 5	520268	23	4	8	2	P010A	P0611
267	Ошибка корекции баланса уровня масла 6	520268	24	4	8	2	P010B	P0611
268	Напряжение сигнала перепада давления топлива выше максимального значения	520289	3	2	1	2	P010C	P1046
269	Напряжение сигнала перепада давления топлива выше максимального значения	520289	4	2	1	2	P010D	P1047
270	Засор топливного фильтра	520289	7	2	1	3	P010E	P1048
271	Неверный сигнал засора топливного фильтра	520289	14	2	1	3	P010F	P1049
272	Нет нагрузки на приводе подогрева топлива	520261	5	2	1	6	P0110	P1032
273	Перегрев привода подогрева топлива	520261	6	2	1	6	P0111	P1033
274	Короткое замыкание источника питания привода обогрева топлива	520261	3	2	1	6	P0112	P1034
275	Короткое замыкание земли привода обогрева топлива	520261	4	2	1	6	P0113	P1035
276	Напряжение сигнала датчика воды в топливе выше максимального значения	520264	3	2	1	4	P0114	P2267
277	Напряжение сигнала датчика воды в топливе выше максимального значения	520264	4	2	1	4	P0115	P2266
278	Слишком много воды в топливе	520264	11	2	1	1	P0116	P2269
279	Уровень топлива в топливном баке ниже минимального значения, либо воздух в гидравлической системе	96	1	2	1	7	P0117	P0460
280	Напряжение сигнала датчика температуры топлива выше максимального значения	174	3	2	1	5	P0118	P0183
281	Напряжение сигнала датчика температуры топлива ниже минимального значения	174	4	2	1	5	P0119	P0182
282	Неверный сигнал температуры топлива	174	2	2	1	5	P011A	P0181
283	CAN Ошибка сигнала CAN нейтральной передачи	59	19	2	2	7	P011B	U1402
284	Нет нагрузки лампы подогрева впускного воздуха	626	5	3	3	2	P011C	P0381
285	Перегрев лампы одогрева впускного воздуха	626	6	3	3	2	P011D	P0381
286	Короткое замыкание источника питания лампы подогрева впускного воздуха	626	3	3	3	2	P011E	P0381
287	Короткое замыкание земли лампы подогрева впускного воздуха	626	4	3	3	2	P011F	P0381
288	Нет нагрузки подогрева впускного воздуха	2898	5	3	2	1	P0120	P0110
289	Перегрев подогрева впускного воздуха	2898	6	3	2	1	P0121	P0110
290	Короткое замыкание источника питания подогрева впускного воздуха	2898	3	3	2	1	P0122	P0113
291	Короткое замыкание земли подогрева впускного воздуха	2898	4	3	2	1	P0123	P0112
292	Частота впрыска превышает ограничение цепи	520210	11	0	0	0	P0124	P100E
293	Частота впрыска превышает ограничение максимального давление топливного насоса	520210	20	0	0	0	P0125	P100F
294	Частота впрыска превышает ограничение системы	520210	21	0	0	0	P0126	P1010
295	Частота впрыска превышает ограничение системы	520210	22	0	0	0	P0127	P1011
296	Неудачный запуск двигателя	520211	11	0	0	0	P0128	P0A0F
297	Давление в топливной рампе ниже минимального значения	520212	1	2	7	6	P0129	P0087
298	Ошибка параметра коррекции форсунки 1	1413	14	4	8	3	P012A	P062B
299	Ошибка параметра коррекции форсунки 2	1414	14	4	8	3	P012B	P062B
300	Ошибка параметра коррекции форсунки 3	1415	14	4	8	3	P012C	P062B
301	Ошибка параметра коррекции форсунки 4	1416	14	4	8	3	P012D	P062B
302	Ошибка параметра коррекции форсунки 5	1417	14	4	8	3	P012E	P062B
303	Ошибка параметра коррекции форсунки 6	1418	14	4	8	3	P012F	P062B
304	Замыкание конденсатора впрыска 1	520214	3	1	5	1	P0130	P062D
305	Замыкание конденсатора впрыска 2	520287	3	1	5	1	P0131	P062E
306	Ошибка выделенного чипа впрыска	520215	11	1	5	3	P0132	P062B
307	Незамкнутая цепь форсунки 1	1413	5	1	4	1	P0133	P0201
308	Незамкнутая цепь форсунки 2	1414	5	1	4	2	P0134	P0202
